Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,510,225,285,0,279,25,9,12,0,181,4,216,294,35,475,,,,,,
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2253,924,1326,3,1908,122,79,71,1,35,37,2167,86,19,2234,,,,,,
KM ,Business ,Graduate ,775,488,287,0,272,83,14,7,1,364,34,313,462,8,767,,,,,,
KM ,Business ,Undergraduate ,2933,1686,1246,1,1919,461,114,163,5,234,37,2504,429,42,2891,,,,,,
KN ,Education ,Graduate ,818,243,575,0,388,30,107,51,5,214,23,490,328,184,634,,,,,,
KN ,Education ,Undergraduate ,724,61,663,0,592,57,33,33,2,2,5,708,16,5,719,,,,,,
KP ,Engineering ,Graduate ,2472,2063,407,2,905,211,32,50,2,1248,24,493,1979,134,2338,,,,,,
KP ,Engineering ,Undergraduate ,5116,4344,771,1,3296,1009,94,198,8,418,93,3900,1216,157,4959,,,,,,
KR ,Fine & Applied Arts ,Graduate ,793,368,425,0,483,43,23,29,4,196,15,315,478,64,729,,,,,,
KR ,Fine & Applied Arts ,Undergraduate ,1899,857,1040,2,1443,162,79,85,3,83,44,1654,245,43,1856,,,,,,
KS ,Graduate College ,Graduate ,3,0,3,0,2,0,0,0,1,0,0,3,0,3,0,,,,,,
KT ,Communications ,Graduate ,108,40,68,0,60,4,5,7,0,30,2,35,73,11,97,,,,,,
KT ,Communications ,Undergraduate ,541,155,386,0,393,54,44,35,0,7,8,502,39,7,534,,,,,,
KU ,Law ,Graduate ,37,19,18,0,2,1,0,0,0,34,0,5,32,0,37,,,,,,
KU ,Law ,Professional ,671,387,282,2,399,110,51,50,4,13,44,503,168,11,660,,,,,,
KV ,Liberal Arts & Sci ,Graduate ,2580,1377,1203,0,1228,154,56,87,5,1027,23,487,2093,108,2472,,,,,,
KV ,Liberal Arts & Sci ,Undergraduate ,14092,6633,7447,12,8967,1825,1348,1179,49,490,234,12879,1213,281,13811,,,,,,
KY ,Applied Life Studies ,Graduate ,214,60,154,0,130,13,19,6,0,45,1,115,99,17,197,,,,,,
KY ,Applied Life Studies ,Undergraduate ,1467,499,967,1,1104,60,192,82,5,15,9,1369,98,28,1439,,,,,,
LC ,Veterinary Medicine ,Graduate ,72,33,39,0,31,1,3,4,0,33,0,16,56,9,63,,,,,,
LC ,Veterinary Medicine ,Professional ,397,89,308,0,337,15,2,6,0,2,35,346,51,15,382,,,,,,
LE ,Institute of Aviation ,Graduate ,4,2,2,0,2,1,0,0,0,1,0,2,2,0,4,,,,,,
LE ,Institute of Aviation ,Undergraduate ,255,235,20,0,217,12,7,12,0,3,4,234,21,13,242,,,,,,
LG ,Labor & Industrial Relns ,Graduate ,149,56,93,0,96,8,16,2,0,25,2,91,58,5,144,,,,,,
LL ,School of Social Work ,Graduate ,297,30,267,0,226,3,39,10,1,10,8,258,39,13,284,,,,,,
LN ,Continuing Education ,Graduate ,65,18,45,2,44,9,5,0,2,0,5,27,38,56,9,,,,,,
LN ,Continuing Education ,Undergraduate ,4,1,3,0,2,0,1,1,0,0,0,4,0,3,1,,,,,,
LP ,Library & Info Sci ,Graduate ,267,79,188,0,184,14,10,12,2,38,7,179,88,47,220,,,,,,
