Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,546,282,264,0,281,32,8,19,1,0,3,200,2,9,3,195,351,28,518,,
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2637,1203,1434,0,1795,218,134,171,4,3,57,243,12,151,27,2289,348,115,2522,,
KM ,Business ,Graduate ,1138,640,498,0,381,118,48,30,0,1,9,539,12,51,5,489,649,5,1133,,
KM ,Business ,Undergraduate ,2904,1645,1259,0,1581,446,101,186,1,4,43,530,12,114,12,2153,751,28,2876,,
KN ,Education ,Graduate ,700,215,485,0,340,37,132,58,2,0,10,115,6,150,10,452,248,176,524,,
KN ,Education ,Undergraduate ,619,42,577,0,473,51,19,45,1,2,18,6,4,23,8,601,18,10,609,,
KP ,Engineering ,Graduate ,2758,2177,581,0,764,193,21,58,3,0,32,1674,13,26,13,443,2315,67,2691,,
KP ,Engineering ,Undergraduate ,6763,5676,1085,2,3253,1275,116,304,4,12,160,1609,30,136,34,4085,2678,250,6513,,
KR ,Fine & Applied Arts ,Graduate ,817,398,418,1,434,30,16,37,2,0,22,268,8,23,11,280,537,75,742,,
KR ,Fine & Applied Arts ,Undergraduate ,1627,734,893,0,977,165,86,136,3,4,27,219,10,99,8,1284,343,37,1590,,
KS ,Graduate College ,Graduate ,39,22,17,0,27,6,2,3,0,0,0,0,1,3,2,31,8,35,4,,
KT ,Media ,Graduate ,99,40,59,0,20,7,6,6,0,0,3,56,1,8,3,24,75,4,95,,
KT ,Media ,Undergraduate ,1063,341,721,1,713,88,78,79,1,3,26,70,5,87,9,922,141,7,1056,,
KU ,Law ,Graduate ,136,49,87,0,0,0,0,1,0,0,0,134,1,0,0,0,136,0,136,,
KU ,Law ,Professional ,616,349,267,0,374,52,55,67,1,0,16,32,19,62,7,338,278,2,614,,
KV ,Liberal Arts & Sci ,Graduate ,2507,1279,1228,0,1117,152,41,97,6,3,42,1021,28,55,23,414,2093,57,2450,,
KV ,Liberal Arts & Sci ,Undergraduate ,11150,5600,5543,7,6008,1655,771,905,13,20,247,1463,68,873,87,9143,2007,289,10861,,
KW ,General Studies ,Undergraduate ,2967,1747,1220,0,1597,439,227,344,0,6,75,267,12,265,22,2537,430,11,2956,,
KY ,Applied Health Sci ,Graduate ,261,91,170,0,155,14,24,12,0,0,4,48,4,29,1,156,105,13,248,,
KY ,Applied Health Sci ,Undergraduate ,2010,660,1350,0,1323,203,188,199,3,3,42,39,10,208,11,1885,125,28,1982,,
LC ,Veterinary Medicine ,Graduate ,57,23,34,0,42,3,1,3,0,0,0,7,1,1,0,21,36,6,51,,
LC ,Veterinary Medicine ,Professional ,485,97,386,2,368,13,5,19,1,0,5,0,74,6,2,392,93,0,485,,
LE ,Institute of Aviation ,Undergraduate ,48,44,4,0,38,6,2,2,0,0,0,0,0,2,0,44,4,5,43,,
LG ,Labor & Empl. Rel. ,Graduate ,195,65,130,0,92,19,12,8,0,0,2,59,3,12,2,116,79,1,194,,
LL ,School of Social Work ,Graduate ,242,38,204,0,167,10,28,15,0,0,7,15,0,31,2,204,38,10,232,,
LL ,School of Social Work ,Undergraduate ,113,10,103,0,68,8,19,10,0,0,4,1,3,19,2,108,5,3,110,,
LM ,Provost Academic Programs ,Graduate ,14,14,0,0,6,0,0,0,0,0,1,7,0,0,0,5,9,0,14,,
LN ,Online & Continuing Education ,Graduate ,57,16,41,0,40,2,8,4,0,0,1,0,2,11,0,0,57,46,11,,
LP ,Library & Info Sci ,Graduate ,315,90,225,0,243,13,12,13,1,0,6,26,1,14,6,175,140,25,290,,
