Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,544,283,261,0,278,24,11,9,0,0,5,215,2,12,1,189,355,29,515,,
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2323,1007,1313,3,1734,136,104,135,4,5,33,149,23,116,13,2119,204,83,2240,,
KM ,Business ,Graduate ,987,553,433,1,349,104,30,8,0,0,8,466,22,31,2,424,563,8,979,,
KM ,Business ,Undergraduate ,2899,1667,1231,1,1647,481,121,193,2,2,35,408,10,131,8,2285,614,20,2879,,
KN ,Education ,Graduate ,708,228,480,0,336,41,118,55,3,0,9,140,6,129,11,430,278,117,591,,
KN ,Education ,Undergraduate ,685,46,638,1,547,53,25,38,0,1,10,9,2,27,1,659,26,12,673,,
KP ,Engineering ,Graduate ,2496,2056,439,1,803,199,17,54,1,0,20,1385,17,22,7,465,2031,75,2421,,
KP ,Engineering ,Undergraduate ,6124,5138,978,8,3299,953,110,249,10,11,118,1332,42,122,29,4037,2087,201,5923,,
KR ,Fine & Applied Arts ,Graduate ,840,400,440,0,482,36,22,40,0,0,15,238,7,27,10,307,533,91,749,,
KR ,Fine & Applied Arts ,Undergraduate ,1799,817,981,1,1215,172,81,128,2,2,38,142,19,92,8,1516,283,35,1764,,
KS ,Graduate College ,Graduate ,14,5,9,0,7,3,1,2,0,0,1,0,0,1,1,13,1,9,5,,
KT ,Media ,Graduate ,91,32,59,0,35,3,6,8,0,0,3,34,2,10,2,36,55,10,81,,
KT ,Media ,Undergraduate ,986,317,669,0,636,84,87,73,1,2,25,74,4,96,5,847,139,16,970,,
KU ,Law ,Graduate ,100,32,68,0,0,2,0,0,0,0,0,97,1,0,0,1,99,0,100,,
KU ,Law ,Professional ,635,371,264,0,429,59,42,41,4,1,13,23,23,44,8,354,281,0,635,,
KV ,Liberal Arts & Sci ,Graduate ,2598,1329,1269,0,1233,159,61,106,4,3,29,962,41,70,21,513,2085,77,2521,,
KV ,Liberal Arts & Sci ,Undergraduate ,11499,5730,5759,10,6653,1664,840,891,14,21,210,1103,103,931,88,9959,1540,222,11277,,
KW ,General Studies ,Undergraduate ,2927,1553,1373,1,1757,377,214,268,5,8,51,233,14,233,13,2594,333,10,2917,,
KY ,Applied Health Sci ,Graduate ,267,89,178,0,177,6,17,9,0,0,5,51,2,21,2,167,100,10,257,,
KY ,Applied Health Sci ,Undergraduate ,1810,611,1196,3,1247,134,186,155,7,3,34,30,14,197,19,1701,109,28,1782,,
LC ,Veterinary Medicine ,Graduate ,66,23,43,0,37,1,2,3,0,0,0,22,1,2,0,19,47,5,61,,
LC ,Veterinary Medicine ,Professional ,478,95,381,2,406,18,2,26,0,0,7,1,18,5,1,390,88,16,462,,
LE ,Institute of Aviation ,Graduate ,6,2,4,0,3,0,0,0,0,0,0,3,0,0,0,2,4,0,6,,
LE ,Institute of Aviation ,Undergraduate ,150,140,10,0,111,12,8,10,0,0,3,4,2,8,2,132,18,6,144,,
LG ,Labor & Empl. Rel. ,Graduate ,178,57,121,0,73,15,15,6,0,0,2,64,3,15,1,86,92,1,177,,
LL ,School of Social Work ,Graduate ,260,28,232,0,189,11,27,14,0,0,3,15,1,31,2,230,30,10,250,,
LL ,School of Social Work ,Undergraduate ,47,6,41,0,31,2,7,4,0,0,3,0,0,8,1,47,0,3,44,,
LN ,Continuing Education ,Graduate ,100,37,63,0,72,12,10,2,0,0,1,0,3,10,1,1,99,82,18,,
LN ,Continuing Education ,Undergraduate ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,
LP ,Library & Info Sci ,Graduate ,329,92,236,1,236,25,21,14,0,0,6,23,4,23,1,201,128,25,304,,
NB ,Provost & VC Acad Affairs ,Undergraduate ,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,2,0,,
