Code,Name,Student level,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Part time,Full time
KL ,"Agr, Cons, Env Sci ",Graduate ,548,279,269,0,291,28,11,11,1,0,4,200,2,11,1,205,343,24,524,,
KL ,"Agr, Cons, Env Sci ",Undergraduate ,2440,1068,1371,1,1751,178,115,146,4,2,39,194,11,127,19,2170,270,81,2359,,
KM ,Business ,Graduate ,1014,572,441,1,322,90,27,23,2,1,10,524,15,31,7,407,607,10,1004,,
KM ,Business ,Undergraduate ,3029,1738,1291,0,1701,456,108,199,2,3,41,507,12,119,9,2300,729,36,2993,,
KN ,Education ,Graduate ,675,200,475,0,328,34,117,58,3,0,11,122,2,129,9,418,257,146,529,,
KN ,Education ,Undergraduate ,666,49,616,1,518,60,21,44,1,2,12,6,2,24,5,647,19,10,656,,
KP ,Engineering ,Graduate ,2557,2065,491,1,762,196,15,57,2,0,29,1476,20,20,11,456,2101,75,2482,,
KP ,Engineering ,Undergraduate ,6455,5439,1014,2,3302,1097,108,270,5,8,132,1493,40,121,26,4045,2410,210,6245,,
KR ,Fine & Applied Arts ,Graduate ,829,411,417,1,443,32,20,47,2,0,23,256,6,24,12,296,533,75,754,,
KR ,Fine & Applied Arts ,Undergraduate ,1769,800,967,2,1124,180,83,134,2,4,39,189,14,96,11,1433,336,28,1741,,
KS ,Graduate College ,Graduate ,27,14,13,0,20,3,1,2,0,0,0,1,0,1,1,24,3,21,6,,
KT ,Media ,Graduate ,96,32,64,0,28,5,5,7,0,0,5,45,1,10,2,25,71,3,93,,
KT ,Media ,Undergraduate ,1096,360,736,0,717,96,86,76,1,2,25,87,6,94,9,932,164,8,1088,,
KU ,Law ,Graduate ,99,36,63,0,0,2,1,0,0,1,0,95,0,1,0,2,97,0,99,,
KU ,Law ,Professional ,630,366,264,0,407,58,48,58,2,1,15,23,18,52,7,336,294,1,629,,
KV ,Liberal Arts & Sci ,Graduate ,2484,1255,1229,0,1130,168,57,108,7,3,35,943,33,67,23,452,2032,64,2420,,
KV ,Liberal Arts & Sci ,Undergraduate ,11405,5666,5730,9,6331,1621,834,873,13,20,232,1386,95,938,78,9528,1877,203,11202,,
KW ,General Studies ,Undergraduate ,2927,1604,1323,0,1683,406,194,294,2,7,65,258,18,224,16,2550,377,3,2924,,
KY ,Applied Health Sci ,Graduate ,276,89,187,0,170,17,20,7,0,0,5,54,3,23,2,176,100,8,268,,
KY ,Applied Health Sci ,Undergraduate ,1939,654,1282,3,1302,175,189,181,6,5,39,32,10,201,13,1828,111,34,1905,,
LC ,Veterinary Medicine ,Graduate ,65,24,41,0,43,5,1,3,0,0,0,12,1,1,0,20,45,10,55,,
LC ,Veterinary Medicine ,Professional ,493,99,393,1,380,15,6,24,1,0,6,1,60,9,2,386,107,12,481,,
LE ,Institute of Aviation ,Graduate ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,
LE ,Institute of Aviation ,Undergraduate ,97,91,6,0,73,9,3,7,0,0,3,2,0,3,1,87,10,4,93,,
LG ,Labor & Empl. Rel. ,Graduate ,191,56,135,0,81,18,18,7,0,0,3,62,2,18,1,98,93,4,187,,
LL ,School of Social Work ,Graduate ,265,38,227,0,184,10,32,16,0,0,6,17,0,36,2,227,38,8,257,,
LL ,School of Social Work ,Undergraduate ,107,11,96,0,65,6,17,13,0,0,4,0,2,18,2,104,3,3,104,,
LM ,Provost Academic Programs ,Graduate ,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2,,
LN ,Online & Continuing Education ,Graduate ,102,29,73,0,85,8,3,4,0,0,0,0,2,3,0,3,99,91,11,,
LN ,Online & Continuing Education ,Undergraduate ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,,
LP ,Library & Info Sci ,Graduate ,320,92,228,0,239,18,16,11,1,0,10,24,1,17,5,185,135,19,301,,
